Time,Agent,Strat,Payoff,Run,Coop_list
1,53,0.42802184186901826,6,0,"{Agent30: 187, Agent52: 175, Agent4: 2, Agent86: 1, Agent77: 1, Agent94: 4, Agent42: 159, Agent56: 167, Agent49: 155, Agent60: 148, Agent5: 153, Agent99: 151, Agent73: 154, Agent27: 8, Agent39: 4, Agent87: 159, Agent95: 159, Agent48: 1, Agent40: 1, Agent9: 3, Agent96: 161, Agent13: 160, Agent74: 9, Agent1: 144, Agent80: 144, Agent45: 11, Agent71: 2, Agent12: 2, Agent2: 151, Agent46: 128, Agent36: 1, Agent59: 131, Agent82: 2, Agent7: 1, Agent19: 4, Agent51: 1, Agent11: 1, Agent63: 3, Agent61: 1, Agent18: 29, Agent37: 7, Agent58: 10, Agent91: 1}"
1,54,0.5031762570082295,0,0,"{Agent70: 0, Agent4: 12, Agent91: 8, Agent50: 2, Agent37: 1, Agent1: 2, Agent11: 2}"
1,55,0.6731335296907628,3,0,"{Agent13: 734, Agent73: 523, Agent52: 506, Agent82: 132, Agent94: 196, Agent75: 225, Agent95: 191, Agent56: 180, Agent59: 618, Agent44: 2, Agent99: 218, Agent60: 0, Agent53: 283, Agent77: 381, Agent36: 112, Agent12: 0, Agent90: 243, Agent54: 154, Agent97: 5, Agent32: 46, Agent39: 9, Agent62: 1, Agent58: 9, Agent61: 10, Agent1: 1, Agent9: 12, Agent19: 1, Agent2: 17, Agent37: 12, Agent86: 12, Agent28: 12, Agent11: 5, Agent83: 1, Agent89: 3, Agent26: 2, Agent85: 2, Agent27: 1, Agent50: 3}"
1,56,0.34362313837244146,0,0,"{Agent52: 3116, Agent99: 2696, Agent13: 3267, Agent59: 3549, Agent60: 372, Agent87: 438, Agent81: 362, Agent29: 75, Agent92: 1, Agent45: 256, Agent63: 81, Agent51: 75, Agent49: 261, Agent20: 20, Agent79: 33, Agent3: 37, Agent96: 25, Agent53: 1, Agent82: 1, Agent5: 22, Agent0: 1, Agent94: 12, Agent98: 1, Agent84: 2, Agent89: 2, Agent16: 2}"
1,57,0.5205068984362204,3,0,"{Agent28: 7, Agent42: 1, Agent63: 1}"
1,58,0.5826245639467559,0,0,"{Agent1: 7, Agent25: 1, Agent38: 1, Agent50: 1}"
1,59,0.5189763645313695,5,0,"{Agent13: 34823, Agent31: 1339, Agent55: 370, Agent98: 476, Agent85: 728, Agent51: 177, Agent67: 126, Agent90: 84, Agent82: 103, Agent74: 90, Agent42: 167, Agent97: 35, Agent28: 233, Agent56: 21, Agent48: 28, Agent75: 218, Agent33: 100, Agent50: 118, Agent15: 44, Agent38: 8, Agent58: 49, Agent29: 25, Agent12: 13, Agent83: 29, Agent44: 29, Agent95: 30, Agent99: 105, Agent53: 3, Agent14: 15, Agent25: 9, Agent96: 5, Agent52: 27, Agent22: 14, Agent76: 1, Agent62: 11, Agent40: 1, Agent70: 11, Agent43: 10, Agent4: 12, Agent18: 7, Agent91: 2, Agent6: 2, Agent24: 1, Agent9: 1}"
1,60,0.6257867453165344,4,0,"{Agent4: -3, Agent14: 2, Agent45: 5, Agent61: 3, Agent37: 1, Agent91: 2, Agent42: 1, Agent81: 4, Agent77: 1}"
1,61,0.5161134427881295,2,0,"{Agent99: 16, Agent73: 1, Agent79: 2, Agent59: 1, Agent30: 1, Agent63: 1, Agent2: 1}"
1,62,0.5660144798659406,4,0,"{Agent25: 0, Agent54: 0, Agent80: 1, Agent32: 1}"
1,63,0.5412742511845532,2,0,"{Agent45: 0, Agent43: 2}"
1,64,0.5350468256701746,5,0,"{Agent27: 69, Agent95: 103, Agent47: 35, Agent81: 8, Agent1: 98, Agent75: 2, Agent32: 4, Agent5: 63, Agent82: 40, Agent39: 28, Agent51: 30, Agent73: 58, Agent13: 61, Agent18: 51, Agent87: 98, Agent96: 68, Agent69: 11, Agent6: 3, Agent31: 1, Agent63: 37, Agent9: 20, Agent52: 92, Agent24: 2, Agent49: 17, Agent84: 1, Agent56: 25, Agent55: 1, Agent2: 38, Agent80: 23, Agent30: 22, Agent11: 1, Agent83: 1, Agent15: 15, Agent42: 25, Agent72: 3, Agent0: 6, Agent19: 5, Agent53: 17, Agent59: 16, Agent60: 16, Agent99: 16, Agent46: 16, Agent67: 9, Agent98: 9, Agent37: 4, Agent86: 4}"
1,65,0.47799561051020645,6,0,"{Agent60: 11, Agent76: -1, Agent34: 1, Agent88: 1, Agent69: 1, Agent66: 1}"
1,66,0.5385147446332426,8,0,"{Agent56: 0, Agent40: 0, Agent45: 4, Agent59: 3, Agent96: 3, Agent17: 5, Agent13: 3, Agent33: 1, Agent57: 1, Agent55: 6, Agent72: 6, Agent12: 2, Agent16: 4, Agent44: 1, Agent25: 1, Agent94: 4, Agent52: 1, Agent42: 1}"
1,67,0.4539604583890642,11,0,"{Agent15: 4, Agent53: 1}"
1,68,0.5302604056659554,1,0,"{Agent29: 12, Agent67: 1, Agent0: 1}"
1,69,0.4161318009611032,0,0,"{Agent24: 2, Agent82: 62, Agent95: 155, Agent23: 49, Agent13: 63, Agent18: 62, Agent27: 62, Agent87: 59, Agent96: 59, Agent1: 60, Agent52: 63, Agent5: 63, Agent73: 27, Agent45: 1, Agent19: 59, Agent55: 2, Agent68: 1, Agent57: 1, Agent17: 1, Agent99: 1, Agent51: 1}"
1,70,0.3757565314217425,0,0,"{Agent95: 12, Agent23: 7, Agent69: 12, Agent56: 1, Agent19: 15, Agent61: 4, Agent13: 2, Agent12: 1, Agent50: 1, Agent28: 0, Agent46: 1, Agent41: 1}"
1,71,0.37469181130222207,5,0,"{Agent40: -1, Agent27: 5, Agent9: 1, Agent76: 5, Agent53: 1, Agent95: 5, Agent21: 4, Agent72: 1, Agent60: 1}"
1,72,0.5451092719474426,6,0,"{Agent39: 22, Agent77: 2, Agent91: 1, Agent13: 2, Agent11: 1, Agent33: 0, Agent10: 0}"
1,73,0.5626637555958516,10,0,"{Agent59: 3030, Agent13: 4064, Agent52: 3889, Agent56: 2666, Agent99: 2408, Agent87: 252, Agent3: 204, Agent49: 212, Agent92: 142, Agent60: 80, Agent45: 176, Agent81: 92, Agent76: 1, Agent63: 16, Agent95: 0, Agent27: 1, Agent88: 1, Agent26: 50, Agent79: 49, Agent29: 83, Agent30: 1, Agent96: 36, Agent20: 35, Agent50: -6, Agent98: 3, Agent33: 12, Agent38: 1, Agent40: 12, Agent94: 16, Agent10: 1, Agent5: 6, Agent51: 10}"
1,74,0.4906123968037523,5,0,"{Agent66: 3, Agent96: 3, Agent86: 1}"
1,75,0.3359297444782374,0,0,"{Agent5: 2, Agent49: 2, Agent12: 1, Agent6: 1}"
