,Agent,Coop_list,Coop_list_dict
55,55,"[['59', ' 366'], ['85', ' 415'], ['98', ' 255'], ['42', ' 102'], ['91', ' 8'], ['71', ' 1'], ['75', ' 209'], ['74', ' 71'], ['67', ' 102'], ['90', ' 77'], ['32', ' 6'], ['28', ' 201'], ['31', ' 319'], ['13', ' 150'], ['12', ' 27'], ['30', ' -4'], ['50', ' 116'], ['51', ' 107'], ['82', ' 42'], ['33', ' 79'], ['56', ' 13'], ['39', ' 3'], ['83', ' 39'], ['44', ' 39'], ['95', ' 36'], ['53', ' 2'], ['99', ' 72'], ['48', ' 24'], ['97', ' 25'], ['58', ' 39'], ['15', ' 56'], ['29', ' 24'], ['40', ' 12'], ['14', ' 9'], ['54', ' 13'], ['70', ' 35'], ['52', ' 38'], ['38', ' 1'], ['4', ' 9'], ['62', ' 24'], ['43', ' 15'], ['18', ' 19'], ['22', ' 4'], ['96', ' 1'], ['25', ' 2'], ['94', ' 2'], ['6', ' 2'], ['36', ' 2'], ['24', ' 1'], ['9', ' 1']]","{'59': 366, '85': 415, '98': 255, '42': 102, '91': 8, '71': 1, '75': 209, '74': 71, '67': 102, '90': 77, '32': 6, '28': 201, '31': 319, '13': 150, '12': 27, '30': -4, '50': 116, '51': 107, '82': 42, '33': 79, '56': 13, '39': 3, '83': 39, '44': 39, '95': 36, '53': 2, '99': 72, '48': 24, '97': 25, '58': 39, '15': 56, '29': 24, '40': 12, '14': 9, '54': 13, '70': 35, '52': 38, '38': 1, '4': 9, '62': 24, '43': 15, '18': 19, '22': 4, '96': 1, '25': 2, '94': 2, '6': 2, '36': 2, '24': 1, '9': 1}"
56,56,"[['82', ' 2'], ['98', ' 23'], ['13', ' 59'], ['74', ' 1'], ['31', ' 78'], ['51', ' 7'], ['91', ' 0'], ['22', ' 31'], ['85', ' 22'], ['58', ' 74'], ['59', ' 21'], ['75', ' 6'], ['21', ' 1'], ['55', ' 13'], ['42', ' 13'], ['28', ' 15'], ['99', ' 0'], ['70', ' 11'], ['26', ' 8'], ['29', ' 9'], ['97', ' 8'], ['48', ' 9'], ['15', ' 12'], ['90', ' 7'], ['4', ' 8'], ['52', ' 7'], ['50', ' 7'], ['14', ' 2']]","{'82': 2, '98': 23, '13': 59, '74': 1, '31': 78, '51': 7, '91': 0, '22': 31, '85': 22, '58': 74, '59': 21, '75': 6, '21': 1, '55': 13, '42': 13, '28': 15, '99': 0, '70': 11, '26': 8, '29': 9, '97': 8, '48': 9, '15': 12, '90': 7, '4': 8, '52': 7, '50': 7, '14': 2}"
57,57,"[['12', ' 7']]",{'12': 7}
58,58,"[['29', ' 165'], ['97', ' 214'], ['81', ' 2'], ['48', ' 199'], ['15', ' 205'], ['74', ' 1'], ['98', ' 215'], ['56', ' 70'], ['22', ' 49'], ['85', ' 53'], ['13', ' 241'], ['91', ' 45'], ['31', ' 88'], ['59', ' 49'], ['82', ' 1'], ['12', ' 1'], ['55', ' 39'], ['42', ' 24'], ['28', ' 18'], ['44', ' 1'], ['72', ' 1'], ['26', ' 18'], ['70', ' 13'], ['4', ' 8'], ['50', ' 15'], ['51', ' 10'], ['75', ' 9'], ['90', ' 18'], ['52', ' 10'], ['14', ' 6'], ['39', ' 5'], ['18', ' 4'], ['62', ' 4'], ['24', ' 7'], ['9', ' 3'], ['67', ' 5'], ['21', ' 1']]","{'29': 165, '97': 214, '81': 2, '48': 199, '15': 205, '74': 1, '98': 215, '56': 70, '22': 49, '85': 53, '13': 241, '91': 45, '31': 88, '59': 49, '82': 1, '12': 1, '55': 39, '42': 24, '28': 18, '44': 1, '72': 1, '26': 18, '70': 13, '4': 8, '50': 15, '51': 10, '75': 9, '90': 18, '52': 10, '14': 6, '39': 5, '18': 4, '62': 4, '24': 7, '9': 3, '67': 5, '21': 1}"
59,59,"[['13', ' 34823'], ['31', ' 1339'], ['55', ' 370'], ['98', ' 476'], ['85', ' 728'], ['51', ' 177'], ['67', ' 126'], ['90', ' 84'], ['82', ' 103'], ['74', ' 90'], ['42', ' 167'], ['97', ' 35'], ['28', ' 233'], ['56', ' 21'], ['48', ' 28'], ['75', ' 218'], ['33', ' 100'], ['50', ' 118'], ['15', ' 44'], ['38', ' 8'], ['58', ' 49'], ['29', ' 25'], ['12', ' 13'], ['83', ' 29'], ['44', ' 29'], ['95', ' 30'], ['99', ' 105'], ['53', ' 3'], ['14', ' 15'], ['25', ' 9'], ['96', ' 5'], ['52', ' 27'], ['22', ' 14'], ['76', ' 1'], ['62', ' 11'], ['40', ' 1'], ['70', ' 11'], ['43', ' 10'], ['4', ' 12'], ['18', ' 7'], ['91', ' 2'], ['6', ' 2'], ['24', ' 1'], ['9', ' 1']]","{'13': 34823, '31': 1339, '55': 370, '98': 476, '85': 728, '51': 177, '67': 126, '90': 84, '82': 103, '74': 90, '42': 167, '97': 35, '28': 233, '56': 21, '48': 28, '75': 218, '33': 100, '50': 118, '15': 44, '38': 8, '58': 49, '29': 25, '12': 13, '83': 29, '44': 29, '95': 30, '99': 105, '53': 3, '14': 15, '25': 9, '96': 5, '52': 27, '22': 14, '76': 1, '62': 11, '40': 1, '70': 11, '43': 10, '4': 12, '18': 7, '91': 2, '6': 2, '24': 1, '9': 1}"
60,60,"[['31', ' 4'], ['51', ' 1'], ['15', ' 3'], ['75', ' 3'], ['50', ' 1'], ['44', ' 1'], ['12', ' 1'], ['95', ' 1']]","{'31': 4, '51': 1, '15': 3, '75': 3, '50': 1, '44': 1, '12': 1, '95': 1}"
61,61,"[['8', ' 12'], ['65', ' 2'], ['27', ' 2'], ['96', ' 1'], ['14', ' 1'], ['75', ' 1'], ['51', ' 1'], ['28', ' 1'], ['85', ' 1'], ['6', ' 1']]","{'8': 12, '65': 2, '27': 2, '96': 1, '14': 1, '75': 1, '51': 1, '28': 1, '85': 1, '6': 1}"
62,62,"[['18', ' 33'], ['70', ' 36'], ['63', ' 5'], ['50', ' 39'], ['33', ' 11'], ['67', ' 17'], ['85', ' 13'], ['74', ' 11'], ['75', ' 14'], ['59', ' 11'], ['31', ' 11'], ['55', ' 24'], ['6', ' 11'], ['96', ' 1'], ['51', ' 8'], ['46', ' 0'], ['28', ' 8'], ['98', ' 5'], ['23', ' 0'], ['58', ' 4'], ['99', ' 3'], ['12', ' 1'], ['90', ' 2'], ['15', ' 2'], ['14', ' 3'], ['4', ' 2'], ['52', ' 2'], ['42', ' 1'], ['13', ' 1']]","{'18': 33, '70': 36, '63': 5, '50': 39, '33': 11, '67': 17, '85': 13, '74': 11, '75': 14, '59': 11, '31': 11, '55': 24, '6': 11, '96': 1, '51': 8, '46': 0, '28': 8, '98': 5, '23': 0, '58': 4, '99': 3, '12': 1, '90': 2, '15': 2, '14': 3, '4': 2, '52': 2, '42': 1, '13': 1}"
63,63,"[['62', ' 9'], ['87', ' 1'], ['13', ' 1'], ['6', ' 7'], ['2', ' 1'], ['90', ' 1'], ['65', ' 1']]","{'62': 9, '87': 1, '13': 1, '6': 7, '2': 1, '90': 1, '65': 1}"
64,64,"[['39', ' 5'], ['30', ' 0']]","{'39': 5, '30': 0}"
65,65,"[['61', ' 3'], ['44', ' 1'], ['22', ' 1'], ['96', ' 2'], ['98', ' 1']]","{'61': 3, '44': 1, '22': 1, '96': 2, '98': 1}"
66,66,"[['98', ' 4'], ['40', ' 5'], ['78', ' 2'], ['95', ' 2'], ['62', ' 1'], ['53', ' 1']]","{'98': 4, '40': 5, '78': 2, '95': 2, '62': 1, '53': 1}"
