Time,Agent,Strat,Payoff,Run
550,15,0.8140981944495949,2065,28
550,16,0.3322374267980903,2105,28
550,17,0.18469103955478616,2168,28
550,18,0.28584872894520746,2251,28
550,19,0.3076713621060795,2192,28
550,20,0.357692937310649,2209,28
550,21,0.4596586593287831,2141,28
550,22,0.38464374019314607,2298,28
550,23,0.8000143375534584,2155,28
550,24,0.38681503638990844,2266,28
550,25,0.18329616962006967,2184,28
550,26,0.20629119775911464,2339,28
550,27,0.23103361143234552,2214,28
550,28,0.3517039998621613,2222,28
550,29,0.31814332623576963,2412,28
550,30,0.28315013522606985,2111,28
550,31,0.396985798858282,2098,28
550,32,0.17528384592226784,2247,28
550,33,0.19256918492067743,2184,28
550,34,0.34956901984345434,2069,28
550,35,0.18915655436575762,2325,28
550,36,0.27890808659133814,2059,28
550,37,0.1700382834421669,2246,28
550,38,0.20958441515574855,2270,28
550,39,0.24488553781866546,2126,28
550,40,0.16592359601738133,2338,28
550,41,0.3983736105255806,2047,28
550,42,0.13876888913025928,2090,28
550,43,0.23353450139996196,2138,28
550,44,0.21146699915255604,2090,28
550,45,0.1600062694069585,2106,28
550,46,0.45510890294157064,2267,28
550,47,0.25253625359046844,2284,28
550,48,0.39550836688821156,2183,28
550,49,0.14996077688427964,2083,28
600,0,0.14468413853382972,2449,28
600,1,0.2399805158604199,2414,28
600,2,0.22118374982018946,2254,28
600,3,0.3132217370709872,2204,28
600,4,0.21053909915587543,2493,28
600,5,0.18526407854749016,2285,28
600,6,0.17318945059790314,2321,28
600,7,0.39919873092550395,2286,28
600,8,0.19699594537569975,2276,28
600,9,0.3003904853568457,2340,28
600,10,0.20576921368474493,2580,28
600,11,0.10338730907184786,2374,28
600,12,0.25422367940521196,2210,28
600,13,0.38118593558749697,2200,28
600,14,0.22942325871379868,2437,28
600,15,0.386947370382125,2194,28
600,16,0.26509671983582683,2324,28
600,17,0.11217493668505543,2353,28
600,18,0.218397354302316,2418,28
600,19,0.44138350359690065,2357,28
600,20,0.23421353554584046,2346,28
600,21,0.23320028271520665,2279,28
600,22,0.38464374019314607,2472,28
600,23,0.4243429978355771,2281,28
600,24,0.2671084590317759,2430,28
600,25,0.18329616962006967,2389,28
600,26,0.20629119775911464,2488,28
600,27,0.2670506089490463,2370,28
600,28,0.22798293619760931,2360,28
600,29,0.31814332623576963,2570,28
600,30,0.1308611641680522,2286,28
600,31,0.40332931391432564,2262,28
600,32,0.3285483780889051,2400,28
600,33,0.19256918492067743,2373,28
600,34,0.20778828287378223,2248,28
600,35,0.18915655436575762,2518,28
600,36,0.39030447200043117,2223,28
600,37,0.21611474233407046,2427,28
600,38,0.35769338203157525,2435,28
600,39,0.15836418024181942,2298,28
600,40,0.16592359601738133,2553,28
600,41,0.2703485113169076,2227,28
600,42,0.3368616910295548,2240,28
600,43,0.23610032152912822,2325,28
600,44,0.4465559096096111,2248,28
600,45,0.1296942434748573,2294,28
600,46,0.12429675373239071,2427,28
600,47,0.25253625359046844,2457,28
600,48,0.39550836688821156,2335,28
600,49,0.2892825213897914,2231,28
650,0,0.14468413853382972,2613,28
650,1,0.4357917442643708,2562,28
650,2,0.438157939211332,2435,28
650,3,0.3798498442871137,2358,28
650,4,0.2188022255534408,2709,28
650,5,0.1782291622237554,2475,28
650,6,0.17318945059790314,2475,28
650,7,0.1967596181064958,2452,28
650,8,0.24537823583011537,2454,28
650,9,0.23893944873400352,2529,28
650,10,0.20576921368474493,2725,28
650,11,0.23146629204547997,2521,28
650,12,0.17895158576267178,2346,28
650,13,0.24805730818008848,2349,28
650,14,0.20634127560778956,2615,28
650,15,0.21416222044696787,2374,28
650,16,0.19722818197494918,2520,28
650,17,0.19592835202786468,2553,28
650,18,0.218397354302316,2632,28
650,19,0.2192312863812029,2485,28
650,20,0.4503821310213218,2535,28
650,21,0.16987897073759894,2429,28
650,22,0.3386176580523406,2616,28
650,23,0.3583973464498157,2420,28
650,24,0.37564574861101707,2601,28
650,25,0.1807048564947896,2537,28
